,State,Share of households
0,Alabama,4.07%
1,Colorado,1.83%
2,Wisconsin,1.79%
3,Montana,1.77%
4,Indiana,1.54%
5,New Mexico,1.33%
6,New York,1.27%
7,Hawaii,1.25%
8,Pennsylvania,1.21%
9,Nebraska,1.11%
10,Ohio,1.05%
11,Oregon,1.04%
12,North Carolina,0.98%
13,Vermont,0.97%
14,Alaska,0.97%
15,Oklahoma,0.97%
16,Arkansas,0.96%
17,Kentucky,0.96%
18,Florida,0.9%
19,Massachusetts,0.89%
20,West Virginia,0.87%
21,Virginia,0.81%
22,Louisiana,0.74%
23,Michigan,0.73%
24,Arizona,0.71%
25,Connecticut,0.7%
26,Tennessee,0.69%
27,Missouri,0.69%
28,New Jersey,0.68%
29,Georgia,0.66%
30,California,0.64%
31,South Carolina,0.63%
32,North Dakota,0.62%
33,Minnesota,0.62%
34,Wyoming,0.61%
35,South Dakota,0.61%
36,Illinois,0.6%
37,Texas,0.51%
38,Maine,0.49%
39,New Hampshire,0.46%
40,Mississippi,0.45%
41,Rhode Island,0.41%
42,Nevada,0.4%
43,Washington,0.39%
44,Utah,0.37%
45,Idaho,0.3%
46,Iowa,0.21%
47,Kansas,0.2%
48,Maryland,0.17%
49,District of Columbia,0.12%
50,Delaware,0%
