,Month,Market capitalization in million euros
0,Sep 2020,15803.64
1,Aug 2020,18761.42
2,Jul 2020,17532.36
3,Jun 2020,18288.99
4,May 2020,17161.31
5,Apr 2020,15962.26
6,Mar 2020,16072.68
7,Feb 2020,25694.65
8,Jan 2020,27147.84
9,Dec 2019,29179.65
10,Nov 2019,28098.4
11,Oct 2019,25308.35
12,Sep 2019,24228.42
13,Aug 2019,22645.35
14,Jul 2019,23841.14
15,Jun 2019,24169.42
16,May 2019,22515.69
17,Apr 2019,27552.38
18,Mar 2019,25372.39
19,Feb 2019,26565.36
20,Jan 2019,22635.07
21,Dec 2018,21924.0
22,Nov 2018,25488.19
23,Oct 2018,25342.82
24,Sep 2018,28900.6
25,Aug 2018,27848.52
26,Jul 2018,33909.74
27,Jun 2018,31998.52
28,May 2018,31885.24
29,Apr 2018,40021.99
30,Mar 2018,37794.17
31,Feb 2018,38954.43
32,Jan 2018,39462.46
33,Dec 2017,34955.17
34,Nov 2017,38053.89
35,Oct 2017,36863.22
36,Sep 2017,40103.99
37,Aug 2017,38058.42
38,Jul 2017,37020.3
