,keywords,Average UK searches*
0,Vegetarian recipes,110000
1,Vegan recipes,90500
2,Vegan cake recipe,14800
3,Healthy vegetarian recipes,12100
4,Are oats gluten free,9900
5,What do vegans eat,8100
6,Vegan snacks,6600
7,Best vegan recipes,4400
8,What is a vegan diet,3600
9,Best vegan cookbooks,1900
10,What foods are gluten free,1000
11,What chocolate is vegan,720
12,Why should I go vegan,110
13,What can you eat on a gluten free diet,110
14,What can vegans eat for breakfast,110
15,What snacks are vegan,70
16,Which vegan milk is best,50
17,What vegan foods are high in protein,50
18,Where is a vegan restaurant near me,10
19,What are the best vegan meat substitutes,10
