,ice hockey team,Price of a hot dog in U.S. dollars
0,Florida Panthers,6.5
1,New York Rangers,6.5
2,Chicago Blackhawks,6.25
3,New York Islanders,6.25
4,Winnipeg Jets,6.02
5,Anaheim Ducks,6
6,Los Angeles Kings,5.75
7,Boston Bruins,5.75
8,New Jersey Devils,5.75
9,Washington Capitals,5.5
10,Philadelphia Flyers,5.25
11,St. Louis Blues,5
12,Minnesota Wild,5
13,Pittsburgh Pinguins,5
14,NHL average,4.94
15,Vancouver Canucks,4.91
16,Toronto Maple Leafs,4.84
17,Colorado Avalanche,4.75
18,Tampa Bay Lightning,4.5
19,Buffalo Sabres,4.25
20,Nashville Predators,4.25
21,San Jose Sharks,4
22,Dallas Stars,4
23,Columbus Blue Jackets,4
24,Carolina Hurricanes,4
25,Detroit Red Wings,4
26,Edmonton Oilers,3.79
27,Montreal Canadiens,3.69
28,Calgary Flames,3.61
29,Ottawa Senators,3.57
30,Phoenix Coyotes*,-
