,Year,National debt in million euros
0,2019*,"3,94,670"
1,2018,"4,05,773"
2,2017,"4,20,297"
3,2016,"4,38,657"
4,2015,"4,46,261"
5,2014,"4,55,872"
6,2013,"4,47,082"
7,2012,"4,32,592"
8,2011,"4,01,481"
9,2010,"3,78,936"
10,2009,"3,54,952"
11,2008,"3,54,179"
12,2007,"2,66,369"
13,2006,"2,64,343"
14,2005,"2,74,482"
15,2004,"2,66,292"
16,2003,"2,56,443"
17,2002,"2,44,626"
18,2001,"2,38,391"
19,2000,"2,35,489"
20,1999,"2,45,808"
21,1998,"2,47,235"
22,1997,"2,42,853"
23,1996,"2,46,012"
24,1995,"2,41,024"
