,Year,Import volume in billion U.S. dollars
0,2019,127.46
1,2018,125.85
2,2017,117.55
3,2016,114.09
4,2015,124.89
5,2014,124.18
6,2013,114.34
7,2012,109.23
8,2011,98.68
9,2010,82.45
10,2009,71.5
11,2008,97.5
12,2007,94.16
13,2006,89.08
14,2005,84.75
15,2004,77.27
16,2003,68.11
17,2002,62.51
18,2001,59.08
19,2000,58.51
20,1999,55.23
21,1998,49.84
22,1997,43.12
23,1996,38.94
24,1995,36.84
25,1994,31.74
26,1993,28.56
27,1992,28.82
28,1991,26.14
29,1990,28.16
30,1989,24.83
31,1988,26.36
32,1987,27.07
33,1986,25.12
34,1985,20.24
