,Occupation,Employment in thousands
0,Sales and service occupations,4587.8
1,"Business, finance and administration occupations",3048.8
2,"Trades, transport and equipment operators and related occupations",2754.5
3,"Occupations in education, law and social, community and government services",2138.0
4,Management occupations,1738.0
5,Natural and applied sciences and related occupations,1570.4
6,Health occupations,1424.3
7,Occupations in manufacturing and utilities,851.4
8,"Occupations in art, culture, recreation and sport",570.3
9,"Natural resources, agriculture and related production occupations",372.1
