,mobile gaming related apps,Mobile reach
0,Google Play Games,10%
1,Pokémon GO,5.7%
2,Candy Crush Saga,5.5%
3,GameSpot (main),5.4%
4,IGN,5.1%
5,Wordscapes,4.8%
6,Lucky Money,4.7%
7,Game Launcher (for Samsung),3.7%
8,Words With Friends,3.7%
9,Solitaire by MobilityWare,3.7%
10,Candy Crush Soda Saga,3.2%
11,Steam Community Activity,2.8%
12,Coin Master,2.6%
13,Trivia Today,2.3%
14,Nintendo,2.3%
15,Homescapes,2.3%
16,Xbox,2.3%
17,Zynga (main),2.3%
18,Gardenscapes - New Acres,2.3%
19,Mario Kart Tour,2.3%
20,Kotaku,2.1%
21,Gamepedia,2%
22,Cookie Jam,1.9%
23,POP! Slots,1.9%
24,Toon Blast,1.8%
25,Game Tools (for Samsung),1.8%
26,GamesRadar+,1.8%
27,Lucky Time,1.8%
28,Sudoku,1.6%
29,EA,1.6%
