,Response,Share of GDP
0,Cuba,11.71%
1,Brazil,9.47%
2,Uruguay,9.3%
3,Argentina,9.12%
4,Chile,8.98%
5,Nicaragua,8.65%
6,Ecuador,8.26%
7,Haiti,8.04%
8,Honduras,7.86%
9,Costa Rica,7.33%
10,Panama,7.32%
11,Colombia,7.23%
12,El Salvador,7.23%
13,Trinidad and Tobago,6.98%
14,Barbados,6.78%
15,Paraguay,6.65%
16,Bolivia,6.44%
17,Suriname,6.23%
18,Dominican Republic,6.14%
19,Jamaica,5.99%
20,Dominica,5.88%
21,Guatemala,5.81%
22,Bahamas,5.76%
23,Belize,5.64%
24,Mexico,5.52%
25,Saint Kitts and Nevis,5.04%
26,Peru,5%
27,Guyana,4.95%
28,Grenada,4.76%
29,Saint Lucia,4.55%
30,Antigua and Barbuda,4.53%
31,Saint Vincent and the Grenadines,4.49%
32,Venezuela,1.18%
