,State,Number of Pell Grant recipients
0,Florida,487305
1,California,362768
2,New York,269407
3,Texas,259099
4,Georgia,132573
5,Michigan,130544
6,Pennsylvania,126966
7,Ohio,113077
8,Illinois,108268
9,Virginia,101185
10,North Carolina,96912
11,Missouri,92077
12,Iowa,86368
13,Indiana,85829
14,Tennessee,80629
15,Utah,78834
16,Arizona,74994
17,Massachusetts,73353
18,New Jersey,68544
19,Alabama,66507
20,Minnesota,62523
21,Wisconsin,61842
22,Washington,59796
23,Kentucky,54389
24,Colorado,53880
25,West Virginia,52937
26,Louisiana,50004
27,Oklahoma,49794
28,Maryland,49148
29,Oregon,42135
30,South Carolina,39367
31,Arkansas,36388
32,Mississippi,35686
33,Connecticut,34847
34,Kansas,33434
35,Nevada,33134
36,Idaho,32287
37,New Hampshire,26711
38,Nebraska,17459
39,Maine,15788
40,Montana,14080
41,Rhode Island,12761
42,District of Columbia,12702
43,Hawaii,12565
44,South Dakota,12303
45,North Dakota,10126
46,Delaware,9307
47,Vermont,8245
48,New Mexico,6789
49,Alaska,6694
50,Wyoming,2542
