,Month,Percentage change**
0,Sep 20,27.7%
1,Aug 20,32.5%
2,Jul 20,22.8%
3,Jun 20,33.6%
4,May 20,-0.4%
5,Apr 20,-19.7%
6,Mar 20,-4.6%
7,Feb 20,16.3%
8,Jan 20,0.2%
9,Dec 19,-1.3%
10,Nov 19,-1.1%
11,Oct 19,4.7%
12,Sep 19,5.6%
13,Aug 19,8.3%
14,Jul 19,13.1%
15,Jun 19,18%
16,May 19,6.5%
17,Apr 19,16%
18,Mar 19,12.3%
19,Feb 19,11.9%
20,Jan 19,11%
21,Dec 18,13.4%
22,Nov 18,19.2%
23,Oct 18,13.8%
24,Sep 18,18.7%
25,Aug 18,11.8%
26,Jul 18,16%
27,Jun 18,18.9%
28,May 18,24%
29,Apr 18,24.5%
30,Mar 18,13.2%
31,Feb 18,10.9%
32,Jan 18,18%
33,Dec 17,20.5%
34,Nov 17,15.6%
35,Oct 17,19.1%
36,Sep 17,24.9%
37,Aug 17,22.2%
38,Jul 17,18.4%
39,Jun 17,17.3%
40,May 17,13.4%
41,Apr 17,9.7%
42,Mar 17,25.9%
43,Feb 17,16.5%
44,Jan 17,12.9%
45,Dec 16,8.2%
46,Nov 16,10.2%
47,Oct 16,7.2%
48,Sep 16,-1.2%
49,Aug 16,-3%
50,Jul 16,9.6%
51,Jun 16,-0.5%
52,May 16,12.7%
53,Apr 16,4.4%
54,Mar 16,3.1%
55,Feb 16,12.7%
56,Jan 16,9.9%
57,Dec 15,10.2%
58,Nov 15,18.9%
59,Oct 15,15.6%
60,Sep 15,9%
61,Aug 15,12.7%
62,Jul 15,6%
63,Jun 15,17.1%
64,May 15,1.8%
65,Apr 15,16%
66,Mar 15,7.9%
67,Feb 15,8.9%
68,Jan 15,13.9%
69,Dec 14,20.4%
70,Nov 14,20.3%
71,Oct 14,16.9%
72,Sep 14,14.3%
73,Aug 14,34%
74,Jul 14,20.8%
75,Jun 14,22.1%
76,May 14,22.8%
77,Apr 14,11.6%
78,Mar 14,6.7%
79,Feb 14,14%
80,Jan 14,17.2%
81,Dec 13,4.8%
82,Nov 13,29.9%
83,Oct 13,3%
84,Sep 13,20.4%
85,Aug 13,6.4%
86,Jul 13,6.4%
87,Jun 13,21.8%
88,May 13,15.1%
89,Apr 13,18.3%
90,Mar 13,21.2%
91,Feb 13,12.6%
92,Jan 13,10.7%
