,Date,Year-over-year change in seated restaurant diners
0,2/24,11%
1,2/25,4%
2,2/26,5%
3,2/27,5%
4,2/28,11%
5,2/29,7%
6,3/1,9%
7,3/2,-8%
8,3/3,0%
9,3/4,-4%
10,3/5,-6%
11,3/6,-7%
12,3/7,4%
13,3/8,11%
14,3/9,-10%
15,3/10,-16%
16,3/11,-11%
17,3/12,-17%
18,3/13,-28%
19,3/14,-38%
20,3/15,-46%
21,3/16,-63%
22,3/17,-90%
23,3/18,-95%
24,3/19,-98%
25,3/20,-99%
26,3/21,-100%
27,3/22,-100%
28,3/23,-100%
29,3/24,-100%
30,3/25,-100%
31,3/26,-100%
32,3/27,-100%
33,3/28,-100%
34,3/29,-100%
35,3/30,-100%
36,3/31,-100%
37,4/1,-100%
38,4/2,-100%
39,4/3,-100%
40,4/4,-100%
41,4/5,-100%
42,4/6,-100%
43,4/7,-100%
44,4/8,-100%
45,4/9,-100%
46,4/10,-100%
47,4/11,-100%
48,4/12,-100%
49,4/13,-100%
50,4/14,-100%
51,4/15,-100%
52,4/16,-100%
53,4/17,-100%
54,4/18,-100%
55,4/19,-100%
56,4/20,-100%
57,4/21,-100%
58,4/22,-100%
59,4/23,-100%
60,4/24,-100%
61,4/25,-100%
62,4/26,-100%
63,4/27,-100%
64,4/28,-100%
65,4/29,-100%
66,4/30,-100%
67,5/1,-100%
68,5/2,-100%
69,5/3,-100%
70,5/4,-100%
71,5/5,-100%
72,5/6,-100%
73,5/7,-100%
74,5/8,-100%
75,5/9,-99.42%
76,5/10,-99.48%
77,5/11,-94.49%
78,5/12,-95.32%
79,5/13,-91.52%
80,5/14,-91.52%
81,5/15,-79.98%
82,5/16,-79.03%
83,5/17,-73.93%
84,5/18,-62.32%
85,5/19,-65.14%
86,5/20,-55.65%
87,5/21,-24.4%
88,5/22,-50.23%
89,5/23,-60.52%
90,5/24,-54.68%
91,5/25,-56.44%
92,5/26,-59.6%
93,5/27,-54.84%
94,5/28,-67.18%
95,5/29,-43.96%
96,5/30,-32.5%
97,5/31,0.34%
98,6/1,32.21%
99,6/2,-39.24%
100,6/3,-31.94%
101,6/4,-42.77%
102,6/5,-23.83%
103,6/6,-22.96%
104,6/7,-41.17%
105,6/8,-54.37%
106,6/9,-13.47%
107,6/10,-9.93%
108,6/11,7.49%
109,6/12,3.29%
110,6/13,-14.07%
111,6/14,-21.8%
112,6/15,-27.33%
113,6/16,-24.75%
114,6/17,-23.73%
115,6/18,-30.86%
116,6/19,-6.64%
117,6/20,-4.07%
118,6/21,7.33%
119,6/22,-13.11%
120,6/23,-8.96%
121,6/24,-1.74%
122,6/25,-7.69%
123,6/26,1.43%
124,6/27,0.81%
125,6/28,14.31%
126,6/29,-16.13%
127,6/30,-10.72%
128,7/1,-5.39%
129,7/2,-7.33%
130,7/3,0.18%
131,7/4,3.1%
132,7/5,0.59%
133,7/6,-15.76%
134,7/7,-6.96%
135,7/8,-1.24%
136,7/9,-3.76%
137,7/10,-1.95%
138,7/11,1.38%
139,7/12,0.95%
140,7/13,-3.98%
141,7/14,2.5%
142,7/15,5.55%
143,7/16,10.65%
144,7/17,18.78%
145,7/18,16.92%
146,7/19,14.76%
147,7/20,12.46%
148,7/21,18.33%
149,7/22,22.76%
150,7/23,24.85%
151,7/24,29.27%
152,7/25,17.31%
153,7/26,9.11%
154,7/27,12.23%
155,7/28,15.25%
156,7/29,20.63%
157,7/30,24.71%
158,7/31,13.81%
159,8/1,8.38%
160,8/2,16.55%
161,8/3,18.93%
162,8/4,13.6%
163,8/5,13.19%
164,8/6,15.7%
165,8/7,11.64%
166,8/8,2.46%
167,8/9,-2.87%
168,8/10,5.78%
169,8/11,-4.77%
170,8/12,8.84%
171,8/13,2.71%
172,8/14,11.43%
173,8/15,6.77%
174,8/16,8.53%
175,8/17,12.08%
176,8/18,9.92%
177,8/19,17.06%
178,8/20,20.91%
179,8/21,17.15%
180,8/22,18.98%
181,8/23,21.54%
182,8/24,24.53%
183,8/25,26.42%
184,8/26,28.13%
185,8/27,21.13%
186,8/28,24.15%
187,8/29,27.78%
188,8/30,13.57%
189,8/31,20.77%
190,9/1,16.03%
191,9/2,15.32%
192,9/3,12.63%
193,9/4,19.45%
194,9/5,14.87%
195,9/6,13.09%
196,9/7,7.77%
197,9/8,7.34%
198,9/9,16.64%
199,9/10,11.5%
200,9/11,20.17%
201,9/12,21.04%
202,9/13,21.34%
203,9/14,12.83%
204,9/15,9.34%
205,9/16,6.94%
206,9/17,5%
207,9/18,10.71%
208,9/19,21.76%
209,9/20,18.05%
210,9/21,7.67%
211,9/22,4.92%
212,9/23,4.68%
