,Chinese Region,Illiteracy rate
0,Tibet,43.95%
1,Guizhou,15.5%
2,Gansu,15.32%
3,Qinghai,15.1%
4,Ningxia,12.87%
5,Yunnan,11.76%
6,Fujian,11.17%
7,Sichuan,10.96%
8,Shaanxi,10.88%
9,Anhui,10.5%
10,Jiangsu,9.16%
11,Zhejiang,7.82%
12,China in total,7.52%
13,Hubei,7.35%
14,Shanghai,7.26%
15,Henan,7.05%
16,Jiangxi,6.64%
17,Inner Mongolia,6.59%
18,Hainan,6.03%
19,Hebei,5.87%
20,Chongqing,5.69%
21,Guangxi,5.12%
22,Hunan,4.64%
23,Guangdong,4.61%
24,Xinjiang,4.58%
25,Jilin,4.1%
26,Shandong,3.81%
27,Shanxi,3.67%
28,Heilongjiang,3.32%
29,Tianjin,2.28%
30,Beijing,2.25%
31,Liaoning,2.12%
