,"Firm (Headquarters, Fiscal Year End)",Revenue in the U.S. in billion U.S. dollars
0,"Deloitte LLP**(New York, May)",19.9
1,"PwC U.S.**(New York, June)",15.4
2,"Ernst & Young LLP**(New York, June)",14.0
3,"KPMG LLP**(New York, September)",9.46
4,"RSM U.S.(Chicago, April)",2.14
5,"Grant Thornton LLP(Chicago, December)",1.87
6,"BDO USA LLP(Chicago, June )",1.47
7,CliftonLarsonAllen LLP (December)***,0.95
8,"Crowe Horwath LLP/(Chicago, December)",0.92
9,"CBIZ & Mayer Hoffman McCann PC(Cleveland, December)",0.78
10,"Moss Adams LLP(Seattle, December)",0.69
11,"CohnReznick LLP(New York, January)",0.65
12,"BKD LLP(Springfield, Mo., May)",0.59
13,"Baker Tilly Virchow Krause LLP(Chicago, May)",0.58
14,"Marcum LLP(New York, December)",0.55
