,Leading players of the national football team of Nigeria,Market value in million euros
0,Wilfred Ndidi,25.0
1,Victor Moses,20.0
2,Ahmed Musa,15.0
3,Alex Iwobi,15.0
4,Kelechi Iheanacho,15.0
5,Odion Ighalo,9.5
6,Chidozie Awaziem,6.0
7,John Mikel Obi,5.5
8,Joel Obi,5.0
9,Ogenyi Onazi,3.5
10,Leon Balogun,2.0
11,Kenneth Omeruo,1.75
12,William Troost-Ekong,1.6
13,John Ogu,1.5
14,Bryan Idowu,1.5
15,Simy,1.5
16,Tyronne Ebuehi,1.5
17,Oghenekaro Etebo,1.5
18,Elderson,0.7
19,Abdullahi Shehu,0.7
20,Daniel Akpeyi,0.65
21,Francis Uzoho,0.3
22,Ikechukwu Ezenwa,0.15
