,Year,GDP in billion U.S. dollars
0,2024*,777.24
1,2023*,729.84
2,2022*,685.94
3,2021*,645.42
4,2020*,606.73
5,2019*,565.85
6,2018,585.82
7,2017,526.75
8,2016,471.84
9,2015,477.57
10,2014,545.28
11,2013,524.4
12,2012,500.85
13,2011,528.57
14,2010,479.16
15,2009,440.14
16,2008,533.8
17,2007,429.47
18,2006,344.76
19,2005,306.15
20,2004,255.28
21,2003,217.51
22,2002,198.68
23,2001,190.43
24,2000,171.28
25,1999,167.8
26,1998,172.05
27,1997,157.18
28,1996,156.68
29,1995,139.09
30,1994,103.68
31,1993,90.37
32,1992,88.71
33,1991,80.45
34,1990,62.08
35,1989,66.9
36,1988,68.61
37,1987,63.71
38,1986,73.68
39,1985,70.78
40,1984,75.51
