,industry,Quartely GDP forecast
0,Mining and Quarrying,-10.4%
1,Tourism and Hospitality,-67.4%
2,Administrative Services,-13.6%
3,Financial Services and Insurance,-7.1%
4,"Culture, Arts and Other Services",-60.4%
5,Energy and Utilities,-2.2%
6,Education,-8%
7,Agriculture,-1.3%
8,Health Services,14.7%
9,Professional and Scientific Services,-9.9%
10,Information and Communication,-3.9%
11,Public Administration and Defense,10%
12,Construction,-0.6%
13,Transportation and Logistics,-23.2%
14,Real Estate Services,-23.3%
15,Light Industries,-13.2%
16,Commerce and Repair,-16.1%
17,Heavy Industries,-29.1%
