,Month,Number of new patients
0,July 22,8
1,July 21,-3
2,July 20,5
3,July 19,1
4,July 18,2
5,July 17,0
6,July 16,1
7,July 15,0
8,July 14,4
9,July 13,-4
10,July 12,-1
11,July 11,-4
12,July 10,-4
13,July 9,4
14,July 8,0
15,July 7,5
16,July 6,-3
17,July 5,1
18,July 4,-3
19,July 3,-3
20,July 2,-1
21,July 1,-1
22,June 30,-4
23,June 29,5
24,June 28,2
25,June 27,-2
26,June 26,-2
27,June 25,-2
28,June 24,-1
29,June 23,-1
30,June 22,-8
31,June 21,-3
32,June 20,3
33,June 19,-2
34,June 18,-8
35,June 17,-9
36,June 16,-9
37,June 15,2
38,June 14,-6
39,June 13,-1
40,June 12,-10
41,June 11,-3
42,June 10,-13
43,June 9,-1
44,June 8,5
45,June 7,-10
46,June 6,-16
47,June 5,-8
48,June 4,-29
49,June 3,6
50,June 2,2
51,June 1,-5
52,May 31,-5
53,May 30,-14
54,May 29,-22
55,May 28,-15
56,May 27,-29
57,May 26,-2
58,May 25,-5
59,May 24,-3
60,May 23,-9
61,May 22,-9
62,May 21,-36
63,May 20,-32
64,May 19,3
65,May 18,-3
66,May 17,7
67,May 16,-16
68,May 15,-27
69,May 14,-20
70,May 13,-45
71,May 12,-13
72,May 11,2
73,May 10,-26
74,May 9,-6
75,May 8,-34
76,May 7,-116
77,May 6,0
78,May 5,-9
79,May 4,-19
80,May 3,-15
81,May 2,-60
82,May 1,-29
83,April 30,-28
84,April 29,-79
85,April 28,-27
86,April 27,12
87,April 26,-43
88,April 25,-36
89,April 24,-23
90,April 23,-27
91,April 22,-59
92,April 21,8
93,April 20,-10
94,April 19,-38
95,April 18,-21
96,April 17,-42
97,April 16,-22
98,April 15,-22
99,April 14,-11
100,April 13,2
101,April 12,-39
102,April 11,-16
103,April 10,-7
104,April 9,9
105,April 8,16
106,April 7,3
107,April 6,0
108,April 5,16
109,April 4,40
110,April 3,61
111,April 2,56
112,April 1,67
113,March 31,94
114,March 30,60
115,March 29,78
116,March 28,99
117,March 27,85
118,March 26,131
119,March 25,93
120,March 24,59
121,March 23,32
122,March 22,52
123,March 21,58
124,March 20,34
