,State,Sales in billion U.S. dollars
0,New York,9.69
1,California,6.28
2,Florida,6.06
3,Massachusetts,5.22
4,Texas,5.07
5,Georgia,4.56
6,Pennsylvania,4.14
7,Ohio,3.93
8,New Jersey,3.29
9,Michigan,3.1
10,Maryland,3.05
11,Illinois,2.86
12,North Carolina,2.38
13,Virginia,2.01
14,Tennessee,1.63
15,South Carolina,1.6
16,Missouri,1.32
17,Oregon,1.23
18,Connecticut,1.23
19,Indiana,1.21
20,West Virginia,1.14
21,Kentucky,1.0
22,Rhode Island,0.88
23,Arizona,0.87
24,Washington,0.69
25,Delaware,0.63
26,Wisconsin,0.63
27,Minnesota,0.59
28,Colorado,0.59
29,Louisiana,0.51
30,Arkansas,0.46
31,Iowa,0.37
32,New Hampshire,0.3
33,Kansas,0.27
34,Maine,0.27
35,South Dakota,0.26
36,Idaho,0.24
37,District of Columbia,0.23
38,Oklahoma,0.19
39,Nebraska,0.18
40,New Mexico,0.15
41,Vermont,0.12
42,Montana,0.06
43,North Dakota,0.04
44,Wyoming,0.03
