,Month,Price in GBP per head
0,Nov '19,0.79
1,Oct '19,0.56
2,Sep '19,0.53
3,Aug '19,0.43
4,Jul '19,0.39
5,Jun '19,0.4
6,May '19,0.45
7,Nov '18,0.47
8,Oct '18,0.47
9,Sep '18,0.75
10,Aug '18,0.69
11,Jul '18,0.63
12,Jun '18,0.41
13,May '18,0.48
14,Feb '18,0.35
15,Nov '17,0.41
16,Oct '17,0.36
17,Sep '17,0.38
18,Aug '17,0.34
19,Jul '17,0.36
20,Jun '17,0.38
21,May '17,0.4
22,Oct '16,0.35
23,Sep '16,0.38
24,Aug '16,0.45
25,Jul '16,0.4
26,Jun '16,0.37
27,May '16,0.44
28,Nov '15,0.35
29,Oct '15,0.4
30,Sep '15,0.45
31,Aug '15,0.32
32,Jul '15,0.29
33,Jun '15,0.35
34,May '15,0.34
