,Month,Unemployment rate
0,Sep '20,9.1%
1,Aug '20,10.6%
2,Jul '20,11.8%
3,Jun '20,13.2%
4,May '20,10.5%
5,Apr '20,7.7%
6,Mar '20,3.9%
7,Feb '20,3.9%
8,Jan '20,3.8%
9,Dec '19,3.7%
10,Nov '19,3.5%
11,Oct '19,3.7%
12,Sep '19,4.1%
13,Aug '19,4.1%
14,Jul '19,4.4%
15,Jun '19,4.1%
16,May '19,4.1%
17,Apr '19,3.5%
18,Mar '19,3.6%
19,Feb '19,3.9%
20,Jan '19,4.2%
21,Dec '18,4.2%
22,Nov '18,4%
23,Oct '18,3.8%
24,Sep '18,3.6%
25,Aug '18,3.5%
26,Jul '18,3.4%
27,Jun '18,3.5%
28,May '18,3.6%
29,Apr '18,3.8%
30,Mar '18,3.8%
31,Feb '18,3.6%
32,Jan '18,3.5%
33,Dec '17,3.5%
34,Nov '17,3.8%
35,Oct '17,3.8%
36,Sep '17,3.8%
37,Aug '17,3.7%
38,Jul '17,3.7%
39,Jun '17,4%
40,May '17,4.2%
41,Apr '17,4.4%
42,Mar '17,4.3%
43,Feb '17,4.1%
44,Jan '17,3.9%
45,Dec '16,3.8%
46,Nov '16,3.7%
47,Oct '16,4.1%
48,Sep '16,4.1%
49,Aug '16,4.3%
50,Jul '16,4%
51,Jun '16,4%
52,May '16,3.9%
53,Apr '16,3.8%
54,Mar '16,3.7%
55,Feb '16,3.8%
56,Jan '16,4%
