,Country,Median per-capita income in U.S. dollars
0,Norway,19308
1,Sweden,18632
2,Luxembourg,18418
3,Denmark,18262
4,Finland,15725
5,United States,15480
6,Canada,15181
7,Australia,15026
8,Netherlands,14450
9,Germany,14098
10,France,12445
11,United Kingdom,12399
12,Austria,12284
13,New Zealand,12147
14,South Korea,11350
15,Japan,10840
16,Belgium,10840
17,Hong Kong,10189
18,Slovenia,9705
19,Ireland,8656
20,Israel,8048
21,Czech Republic,7821
22,Kuwait,7487
23,Singapore,7345
24,Spain,7284
25,Taiwan,6882
26,Italy,6874
27,Malta,6869
28,Greece,6086
29,Portugal,5519
30,Slovakia,5455
31,Belarus,5236
32,Croatia,5117
33,Qatar,5117
34,Estonia,5031
35,Cyprus,4932
36,Bahrain,4778
37,Saudi Arabia,4762
38,Lithuania,4713
39,Poland,4578
40,Hungary,4493
41,Russia,4129
42,Argentina,4109
43,Latvia,4000
44,Ukraine,3876
45,Montenegro,3123
46,Iran,3115
47,Serbia,3020
48,Lebanon,2960
49,Mexico,2900
