,Year,Number of newborn births
0,2018,3678096
1,2017,3693124
2,2016,3804132
3,2015,3826138
4,2014,3818308
5,2013,3778696
6,2012,3754085
7,2011,3767697
8,2010,3871751
9,2009,4001748
10,2008,4109081
11,2007,4128796
12,2006,4126598
13,2005,4048442
14,2004,3965906
15,2003,3976886
16,2002,3934421
17,2001,3929733
18,2000,3940017
19,1999,3829881
20,1998,3795212
21,1997,3811522
22,1996,3790678
23,1995,3833132
24,1994,3886667
25,1993,3949788
26,1992,4007179
27,1991,4047504
28,1990,4046704
29,1989,3920384
30,1988,3764369
31,1987,3698294
32,1986,3680178
33,1985,3630961
34,1984,3563106
35,1983,3596146
36,1982,3615751
37,1981,3558274
38,1980,3500043
39,1979,3376467
40,1978,3250373
41,1977,3223699
42,1976,3067063
43,1975,3091629
44,1974,3043386
45,1973,3087210
46,1972,3231875
47,1971,3464513
48,1970,3537000
49,1965,3565344
50,1960,3835735
51,1955,3476753
52,1950,2742780
53,1946,2135327
