,American football player,Number of passing yards
0,Drew Brees (2001-2020),80157
1,Tom Brady (2000-2020),78805
2,Peyton Manning (1998-2015),71940
3,Brett Favre (1991-2010),71838
4,Philip Rivers (2004-2020),63276
5,Dan Marino (1983-1999),61361
6,Ben Roethlisberger (2004-2020),60348
7,Eli Manning (2004-2020),57023
8,Matt Ryan (2008-2020),55502
9,John Elway (1983-1998),51475
10,Aaron Rodgers (2005-2020),51005
11,Warren Moon (1984-2000),49325
12,Fran Tarkenton (1961-1978),47003
13,Carson Palmer (2004-2017),46247
14,Vinny Testaverde (1987-2007),46233
15,Matthew Stafford (2009-2020),44816
16,Drew Bledsoe (1993-2006),44611
17,Dan Fouts (1973-1987),43040
18,Joe Flacco (2008-2020),40931
19,Kerry Collins (1995-2011),40922
