,Month,Money supply in billion GBP
0,Jun '20,2033.53
1,May '20,2019.7
2,Apr '20,1992.04
3,Mar '20,1953.44
4,Feb '20,1844.73
5,Jan '20,1823.23
6,Dec '19,1811.31
7,Nov '19,1801.57
8,Oct '19,1796.07
9,Sep '19,1793.08
10,Aug '19,1790.99
11,Jul '19,1778.88
12,Jun '19,1764.9
13,May '19,1763.47
14,Apr '19,1760.77
15,Mar '19,1762.56
16,Feb '19,1761.92
17,Jan '19,1766.26
18,Dec '18,1771.65
19,Nov '18,1772.87
20,Oct '18,1779.38
21,Sep '18,1752.42
22,Aug '18,1744.86
23,Jul '18,1739.31
24,Jun '18,1737.82
25,May '18,1732.2
26,Apr '18,1707.71
27,Mar '18,1704.56
28,Feb '18,1712.97
29,Jan '18,1712.61
30,Dec '17,1703.84
31,Nov '17,1696.49
32,Oct '17,1690.52
33,Sep '17,1690.58
34,Aug '17,1684.56
35,Jul '17,1665.09
36,Jun '17,1666.98
37,May '17,1661.42
38,Apr '17,1656.64
39,Mar '17,1650.8
40,Feb '17,1628.95
41,Jan '17,1616.98
42,Dec '16,1621.4
43,Nov '16,1607.57
44,Oct '16,1612.42
45,Sep '16,1603.89
46,Aug '16,1603.06
47,Jul '16,1593.92
48,Jun '16,1589.17
49,May '16,1527.93
50,Apr '16,1518.1
51,Mar '16,1520.13
52,Feb '16,1508.24
53,Jan '16,1483.12
