,Country,Inflation rate compared to previous year
0,Hungary,4%
1,Poland,3.7%
2,Czech Republic,3.5%
3,Romania,2.5%
4,Austria,1.4%
5,Slovakia,1.4%
6,Lithuania,1.2%
7,Sweden,1%
8,Malta,0.7%
9,Bulgaria,0.6%
10,Denmark,0.4%
11,EU 27,0.4%
12,Netherlands,0.3%
13,Finland,0.3%
14,France,0.2%
15,Germany,-0.1%
16,Portugal,-0.2%
17,Luxembourg,-0.2%
18,Euro area,-0.2%
19,Croatia,-0.4%
20,Italy,-0.5%
21,Latvia,-0.5%
22,Spain,-0.6%
23,Slovenia,-0.7%
24,Belgium,-0.9%
25,Ireland,-1.1%
26,Estonia,-1.3%
27,Greece,-2.3%
28,Cyprus,-2.9%
