,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",124.72
1,Professional and business services,95.46
2,"Educational services, health care, and social assistance",85.74
3,Manufacturing,83.94
4,Government and government enterprises,64.83
5,Information,54.92
6,Wholesale trade,41.56
7,Retail trade,35.98
8,Construction,25.91
9,Transportation and warehousing,25.11
10,"Mining, quarrying, and oil and gas extraction",23.55
11,"Arts, entertainment, recreation, accommodation, and food services",22.7
12,Utilities,11.54
13,"Agriculture, forestry, fishing, and hunting",4.13
