,Club,Sponsorship in million euros
0,Sassulo (Mapei),18
1,Juventus Football Club (Jeep),17
2,AC Milan (Fly Emirates),15
3,Internazionale (Pirelli),12.5
4,Napoli (Lette),6.5
5,SS Lazio (Seleco),4
6,AS Torino (Suzuki),3.2
7,Fiorentina (Folletto),2.5
8,Atalanta (Veratour),2
9,Chievo (Paluani),1.5
10,Verona (Metano Nord),1.3
11,Udinese (Dacia),1.1
12,Bologna (FAAC),0.7
13,Cagliari (Ichnusa),0.7
14,Genoa (Eviva),0.6
15,Spal (Vetroresina),0.5
16,Benevento (La Molisana)*,-
17,Crotone (Lewer)*,-
18,AS Roma**,-
19,Sampdoria**,-
