,Chinese Semiconductor Company,Revenue in million U.S. dollars
0,"HiSilicon Technologies Co., Ltd.",652
1,Spreadtrum Communications Inc.,369
2,"Tianjln ZhongHuan Semiconductor Co., Ltd.",222
3,"RDA Microelectronics, Inc.",189
4,"Wuxi China Resources Huajian Microelectronics Co., Ltd.",168
5,"Jilin Sino Microelectronics Co., Ltd.",163
6,"Shenzhen ZTE Microelectronics Co., Ltd.",148
7,GalaxyCore Inc.,124
8,"Suzhou Good-Ark Electronics Co., Ltd.",123
9,"Hangzhou Silan Microelectronics Co., Ltd.",123
