,region of Ukraine,Number of tests
0,Kyiv,49405
1,Vinnytsia Oblast,20747
2,Chernivtsi Oblast,17237
3,Odessa Oblast,16071
4,Dnipropetrovsk Oblast,15573
5,Cherkasy Oblast,14621
6,Zaporizhia Oblast,13846
7,Ternopil Oblast,13809
8,Rivne Oblast,13730
9,Kyiv Oblast,12799
10,Kharkiv Oblast,12702
11,Kherson Oblast,12157
12,Lviv Oblast,10956
13,Zakarpattia Oblast,10269
14,Kirovohrad Oblast,9938
15,Ivano-Frankivsk Oblast,9803
16,Khmelnytskyi Oblast,6772
17,Zhytomyr Oblast,6693
18,Poltava Oblast,6443
19,Volyn Oblast,6069
20,Chernihiv Oblast,5499
21,Donetsk Oblast,5400
22,Sumy Oblast,5133
23,Mykolaiv Oblast,5088
24,Luhansk Oblast,1676
