,Month,Index**
0,Nov 20,221.5
1,Oct 20,170.7
2,Sep 20,144.9
3,Aug 20,148.2
4,Jul 20,156.5
5,Jun 20,162.6
6,May 20,159.9
7,Apr 20,125.6
8,Mar 20,116.5
9,Feb 20,105.2
10,Jan 20,109.9
11,Dec 19,163.3
12,Nov 19,145.2
13,Oct 19,114.8
14,Sep 19,105.4
15,Aug 19,106.8
16,Jul 19,113.9
17,May 19,111.2
18,Apr 19,105.1
19,Mar 19,108.5
20,Feb 19,97.1
21,Jan 19,95.2
22,Dec 18,137.2
23,Nov 18,141.1
24,Oct 18,100.9
25,Sep 18,93.5
26,Aug 18,92.0
27,Jul 18,94.7
28,Jun 18,95.1
29,May 18,98.2
30,Apr 18,90.0
31,Mar 18,88.8
32,Feb 18,83.8
33,Jan 18,81.0
34,Dec 17,118.8
35,Nov 17,123.9
36,Oct 17,90.7
37,Sep 17,85.2
38,Aug 17,80.9
39,Jul 17,81.6
40,Jun 17,84.9
41,May 17,82.6
42,Apr 17,81.9
43,Mar 17,77.2
44,Feb 17,73.3
45,Jan 17,72.2
46,Dec 16,115.9
47,Nov 16,114.5
48,Oct 16,83.0
49,Sep 16,75.1
50,Aug 16,67.0
51,Jul 16,66.6
52,Jun 16,66.8
53,May 16,67.4
54,Apr 16,63.6
55,Mar 16,60.6
56,Feb 16,57.9
57,Jan 16,62.7
58,Dec 15,81.6
59,Nov 15,84.4
60,Oct 15,60.0
61,Sep 15,55.6
62,Aug 15,51.2
63,Jul 15,56.9
64,Jun 15,56.5
65,May 15,55.3
66,Apr 15,57.5
67,Mar 15,53.4
68,Feb 15,51.3
69,Jan 15,54.8
70,Dec 14,79.1
71,Nov 14,75.1
72,Oct 14,53.8
73,Sep 14,47.5
74,Aug 14,47.9
75,Jul 14,48.0
76,Jun 14,48.3
77,May 14,50.4
78,Apr 14,48.4
79,Mar 14,46.8
80,Feb 14,46.3
81,Jan 14,42.9
