,state of India,Number of teachers
0,Uttar Pradesh,546381
1,West Bengal,300391
2,Madhya Pradesh,223200
3,Maharastra,157865
4,Bihar,146405
5,Tamil Nadu,144224
6,Assam,133900
7,Chhattisgarh,100790
8,Andhra Pradesh,99912
9,Odisha,96919
10,Rajasthan,95262
11,Karnataka,63811
12,Telangana,58610
13,Jharkhand,57498
14,Punjab,48104
15,Kerala,48063
16,Uttarakhand,42791
17,Haryana,40322
18,Jammu & Kashmir,35378
19,Gujrat,35010
20,Himachal Pradesh,27880
21,Delhi,27492
22,Meghalaya,23517
23,Manipur,11874
24,Tripura,10638
25,Nagaland,7392
26,Mizoram,6189
27,Arunachal Pradesh,5471
28,Sikkim,4205
29,Goa,3016
30,Puducherry,1501
31,Andaman & Nicobar Islands,935
32,Dadra & Nagar Haveli,456
33,Daman & Diu,332
34,Lakshadweep,204
35,Chandigarh,182
