,prefecture of Japan,Number of emigrants in thousands
0,Aichi,108.91
1,Akita,15.11
2,Aomori,23.2
3,Chiba,129.15
4,Ehime,21.22
5,Fukui,10.77
6,Fukuoka,93.51
7,Fukushima,31.14
8,Gifu,30.8
9,Gunma,29.25
10,Hiroshima,48.45
11,Hokkaido,55.22
12,Hyogo,92.5
13,Ibaraki,49.61
14,Ishikawa,18.99
15,Iwate,21.29
16,Kagawa,18.29
17,Kagoshima,29.72
18,Kanagawa,193.56
19,Kochi,11.1
20,Kumamoto,30.68
21,Kyoto,55.62
22,Mie,30.64
23,Miyagi,47.36
24,Miyazaki,20.8
25,Nagano,29.08
26,Nagasaki,28.39
27,Nara,26.52
28,Niigata,28.19
29,Oita,20.63
30,Okayama,30.35
31,Okinawa,26.32
32,Osaka,150.93
33,Saga,17.2
34,Saitama,146.4
35,Shiga,26.08
36,Shimane,11.29
37,Shizuoka,56.27
38,Tochigi,33.14
39,Tokushima,11.12
40,Tokyo,340.84
41,Tottori,10.1
42,Toyama,13.35
43,Wakayama,14.39
44,Yamagata,16.34
45,Yamaguchi,24.9
46,Yamanashi,14.81
