,disease,Distribution of deaths
0,Cardiovascular diseases,31.8%
1,Cancers,17.08%
2,Respiratory diseases,7%
3,Lower respiratory infections,4.57%
4,Dementia,4.49%
5,Digestive diseases,4.25%
6,Neonatal deaths,3.19%
7,Diarrheal diseases,2.81%
8,Diabetes mellitus,2.45%
9,Liver disease,2.36%
10,Road incidents,2.22%
11,Kidney disease,2.2%
12,Tuberculosis,2.12%
13,HIV/AIDS,1.71%
14,Suicide,1.42%
15,Malaria,1.11%
16,Homicide,0.72%
17,Parkinson disease,0.61%
18,Drowning,0.53%
19,Meningitis,0.51%
20,Nutritional deficiencies,0.48%
21,Protein-energy malnutrition,0.41%
22,Maternal deaths,0.35%
23,Alcohol disorders,0.33%
24,Drug disorders,0.3%
25,Hepatitis,0.23%
26,Fire,0.22%
27,Conflict*,0.21%
28,Heat-related (hot and cold exposure),0.1%
29,Terrorism,0.05%
30,Natural disasters,0.02%
