,Settlement,Number of confirmed cases
0,Banja Luka,575
1,Maglaj,145
2,Sarajevo,97
3,Čitluk,96
4,Mostar,93
5,Laktaši,79
6,Široki Brijeg,60
7,Bosanska Gradiška,56
8,Tuzla,48
9,Doboj,48
10,Kotor Varoš,48
11,Prijedor,44
12,Cazin,43
13,Bihać,41
14,Zenica,40
15,Teslić,39
16,Livno,35
17,Gacko,35
18,Derventa,34
19,Prnjavor,33
20,Kneževo,30
21,Konjic,29
22,Čelinac,27
23,Zavidovići,23
24,Trebinje,23
25,Bosanski Brod,23
26,Nevesinje,22
27,Mrkonjić Grad,21
28,Čapljina,21
29,Goražde,21
30,Brčko,20
31,Žepče,20
32,Kozarska Dubica,20
33,Oštra Luka,19
34,Srebrenik,16
35,Modriča,14
36,Grude,14
37,Bosanski Petrovac,13
38,Šipovo,13
39,Srbac,12
40,Jablanica,12
41,Bijeljina,12
42,Travnik,11
43,Tešanj,9
44,Gornji Vakuf - Uskoplje,9
45,Vitez,7
46,Kalinovik,7
47,Živinice,7
48,Ribnik,7
49,Sapna,7
50,Istočna Ilidža,6
51,Novi Travnik,6
52,Hadžići,6
53,Pale,5
54,Bosanska Krupa,5
55,Ilijaš,4
56,Bugojno,4
57,Sanski Most,4
58,Zvornik,4
59,Posušje,4
60,Bosanski Šamac,4
61,Lukavac,3
62,Kakanj,3
63,Velika Kladuša,3
64,Tomislavgrad,3
65,Bosanski Novi,3
66,Orašje,2
67,Visoko,2
68,Osmaci,2
69,Gračanica,2
70,Doboj Jug,2
71,Kiseljak,2
72,Istočno Sarajevo,2
73,Foča,2
74,Ugljevik,2
75,Odžak,1
76,Banovići,1
77,Srebrenica,1
78,Ljubuški,1
79,Vareš,1
80,Šekovići,1
81,Milići,1
82,Bileća,1
83,Kalesija,1
84,Breza,1
85,Sokolac,1
86,Stolac,1
87,Donji Vakuf,1
88,Krupa na Uni,1
89,Ljubinje,1
90,Petrovo,1
91,Vukosavlje,1
92,Bosanska Kostajnica,1
93,Gradačac,1
