,Tallest Skyscrapers,Height in meters
0,"Burj Khalifa (Dubai, UAE)",828
1,Shanghai Tower (Shanghai),632
2,"Makkah Clock Royal Tower (Mecca, Saudi Arabia)",601
3,Ping An International Finance Center(Shenzhen),599
4,"Lotte World Tower (Seoul, South Korea)",554
5,"One World Trade Center (New York, U.S.)",541
6,"CTF Finance Center (Guangzhou, China)",530
7,"Tianjin CTF Finance Centre (Tianjin, China)",530
8,"CITIC Tower (Beijing, China)",528
9,"Taipei 101 (Taipei, Taiwan)",509
10,"Shanghai World Finance Center (Shanghai, China)",492
11,"The Exchange 106 (Kuala Lumpur, Malaysia)",492
12,International Commerce Centre (Hong Kong),484
13,"Lakhta Center (St. Petersburg, Russia)",462
14,"Vincom Landmark 81 (Ho Chi Minh City, Vietnam)",461
15,"The Wharf IFS Tower 1 (Changsha, China)",452
16,"Suzhou IFS (Suzhou, China)",452
17,"Petronas Tower 2 (Kuala Lumpur, Malaysia)",452
18,"Petronas Tower 1 (Kuala Lumpur, Malaysia)",452
19,"Zifeng Tower (Nanjing, China)",450
