,Response,Share of responding businesses
0,Retail or wholesale (incl. online shops),20%
1,"Professional services (e.g., financial services, consulting, travel agents, business services)",14%
2,Other,12%
3,"Personal services (e.g. beauty and wellness, repair of household goods)",7%
4,"Healthcare (e.g., dentist, senior care)",7%
5,Restaurant/café or other food services,7%
6,"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",7%
7,"Real estate (e.g., brokerage, leasing, management)",6%
8,"Accommodation (e.g., hotels, camping grounds)",5%
9,"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",4%
10,Construction or home repair,3%
11,"Education (e.g., schools, tutoring, driving school)",2%
12,Non-profit/charity organization,2%
13,Automotive repair or services,2%
14,"Transportation or storage (e.g., taxi, warehousing)",2%
15,Manufacturing,2%
