,Month,Units sold
0,Dec 20,7480
1,Nov 20,7822
2,Oct 20,10888
3,Sep 20,23522
4,Aug 20,5234
5,Jul 20,10254
6,Jun 20,9569
7,May 20,2002
8,Apr 20,256
9,Mar 20,16981
10,Feb 20,5745
11,Jan 20,11130
12,Dec 19,9623
13,Nov 19,10397
14,Oct 19,11319
15,Sep 19,30398
16,Aug 19,5040
17,Jul 19,12056
18,Jun 19,14947
19,May 19,14431
20,Apr 19,11739
21,Mar 19,33536
22,Feb 19,6088
23,Jan 19,12249
24,Dec 18,11365
25,Nov 18,11391
26,Oct 18,11716
27,Sep 18,30161
28,Aug 18,4868
29,Jul 18,11395
30,Jun 18,14928
31,May 18,13387
32,Apr 18,11854
33,Mar 18,33194
34,Feb 18,6088
35,Jan 18,11891
36,Dec 17,10427
37,Nov 17,12065
38,Oct 17,12136
39,Sep 17,31430
40,Aug 17,4738
41,Jul 17,11617
42,Jun 17,15715
43,May 17,14660
44,Apr 17,13345
45,Mar 17,35690
46,Feb 17,6099
47,Jan 17,13048
