,Player,Market value in million euros
0,Granit Xhaka,40.0
1,Manuel Akanji,22.0
2,Denis Zakaria,20.0
3,Xherdan Shaqiri,18.0
4,Breel Embolo,18.0
5,Nico Elvedi,17.0
6,Ricardo Rodríguez,15.0
7,Remo Freuler,14.0
8,Yann Sommer,8.0
9,Roman Bürki,7.0
10,Steven Zuber,7.0
11,Michael Lang,5.75
12,Haris Seferovic,4.0
13,Josip Drmic,3.5
14,Mario Gavranovic,3.0
15,Fabian Schär,3.0
16,Yvon Mvogo,3.0
17,Blerim Dzemail,2.5
18,François Moubandje,2.5
19,Stephan Lichtsteiner,1.5
20,Gelson Fernandes,1.5
21,Valon Behrami,1.0
22,Johan Djourou,0.85
