,Quarter,Revenue in billion euros
0,Q2 '20,6.74
1,Q1 '20,6.52
2,Q4 '19,8.04
3,Q3 '19,6.79
4,Q2 '19,6.63
5,Q1 '19,6.09
6,Q4 '18,7.43
7,Q3 '18,6.02
8,Q2 '18,6.0
9,Q1 '18,5.26
10,Q4 '17,6.81
11,Q3 '17,5.59
12,Q2 '17,5.78
13,Q1 '17,5.29
14,Q4 '16,6.72
15,Q3 '16,5.38
16,Q2 '16,5.24
17,Q1 '16,4.73
18,Q4 '15,6.34
19,Q3 '15,4.99
20,Q2 '15,4.97
21,Q1 '15,4.5
22,Q4 '14,5.46
23,Q3 '14,4.25
24,Q2 '14,4.15
25,Q1 '14,3.7
26,Q4 '13,5.11
27,Q3 '13,4.05
28,Q2 '13,4.06
29,Q1 '13,3.6
30,Q4 '12,5.02
31,Q3 '12,3.95
32,Q2 '12,3.9
33,Q1 '12,3.35
34,Q4 '11,4.5
35,Q3 '11,3.41
36,Q2 '11,3.3
37,Q1 '11,3.02
38,Q4 '10,4.06
39,Q3 '10,3.0
40,Q2 '10,2.89
41,Q1 '10,2.51
42,Q4 '09,3.19
43,Q3 '09,2.51
44,Q2 '09,2.58
45,Q1 '09,2.4
46,Q4 '08,3.49
47,Q3 '08,2.76
48,Q2 '08,2.86
49,Q1 '08,2.46
