,State,Percentage of households
0,Louisiana,11.67%
1,Mississippi,11.3%
2,New Mexico,9.69%
3,North Carolina,9.53%
4,Georgia,9.51%
5,South Carolina,8.94%
6,Oklahoma,8.63%
7,Rhode Island,8.28%
8,Texas,8.25%
9,Delaware,8.07%
10,Arkansas,8%
11,Pennsylvania,7.91%
12,Alabama,7.84%
13,Florida,7.79%
14,Nebraska,7.68%
15,New York,7.68%
16,Connecticut,7.62%
17,Ohio,7.59%
18,United States,7.51%
19,Indiana,7.36%
20,California,7.34%
21,Missouri,7.27%
22,Minnesota,7.25%
23,Alaska,7.25%
24,Massachusetts,7.2%
25,District of Columbia,7.19%
26,Kentucky,7.05%
27,Nevada,7.04%
28,Arizona,7.04%
29,Illinois,6.97%
30,Virginia,6.95%
31,Kansas,6.94%
32,Maryland,6.91%
33,Tennessee,6.7%
34,West Virginia,6.7%
35,New Jersey,6.6%
36,Vermont,6.46%
37,Michigan,6.44%
38,Wisconsin,6.43%
39,Oregon,6.41%
40,Wyoming,6.41%
41,Hawaii,6.22%
42,North Dakota,6.21%
43,Maine,6.17%
44,South Dakota,6%
45,Colorado,5.88%
46,Iowa,5.87%
47,New Hampshire,5.87%
48,Washington,5.58%
49,Utah,4.89%
50,Idaho,4.81%
51,Montana,4.78%
