,Month,Index (2002-2004 = 100)
0,Nov 19,223
1,Oct 19,226
2,Sep 19,228
3,Aug 19,228
4,Jul 19,224
5,Jun 19,224
6,May 19,222
7,Apr 19,222
8,Mar 19,222
9,Feb 19,221
10,Jan 19,223
11,Dec 18,216
12,Nov 18,215
13,Oct 18,216
14,Sep 18,222
15,Aug 18,224
16,Jul 18,228
17,Jun 18,235
18,May 18,228
19,Apr 18,229
20,Mar 18,227
21,Feb 18,227
22,Jan 18,224
23,Dec 17,220
24,Nov 17,219
25,Oct 17,216
26,Aug 17,212
27,Sep 17,212
28,Jul 17,210
29,Jun 17,209
30,May 17,202
31,Jul 16,200
32,May 16,199
33,Apr 16,199
34,Jun 16,198
35,Apr 17,198
36,Feb 16,197
37,Mar 17,195
38,Jan 16,195
39,Mar 16,195
40,Aug 16,195
41,Feb 17,194
42,Jan 17,190
43,Sep 16,190
44,Dec 16,187
45,Oct 16,186
46,Nov 16,185
