,American football player,Number of yards
0,Emmitt Smith (1990-2004),18355
1,Walter Payton (1975-1987),16726
2,Frank Gore (2005-2020),16000
3,Barry Sanders (1989-1998),15269
4,Adrian Peterson (2007-2020),14757
5,Curtis Martin (1995-2005),14101
6,LaDainian Tomlinson (2001-2011),13684
7,Jerome Bettis (1993-2005),13662
8,Eric Dickerson (1983-1993),13259
9,Tony Dorsett (1977-1988),12739
10,Jim Brown (1957-1965),12312
11,Marshall Faulk (1994-2005),12279
12,Edgerrin James (1999-2009),12246
13,Marcus Allen (1982-1997),12243
14,Franco Harris (1972-1984),12120
15,Thurman Thomas (1988-2000),12074
16,Fred Taylor (1998-2010),11695
17,Steven Jackson (2004-2015),11438
18,John Riggins (1971-1985),11352
19,Corey Dillon (1997-2006),11241
