,State,Number of ski areas
0,New York,51
1,Michigan,40
2,Wisconsin,31
3,Colorado,31
4,New Hampshire,30
5,California,30
6,Pennsylvania,26
7,Vermont,23
8,Minnesota,20
9,Maine,18
10,Idaho,17
11,Utah,15
12,Montana,15
13,Washington,14
14,Massachusetts,13
15,Oregon,12
16,Wyoming,10
17,Alaska,9
18,New Mexico,9
19,North Carolina,6
20,Nevada,5
21,West Virginia,4
22,Connecticut,5
23,Illinois,4
24,Ohio,5
25,Virginia,5
26,Iowa,3
27,South Dakota,2
28,Arizona,3
29,New Jersey,3
30,North Dakota,3
31,Missouri,2
32,Indiana,2
33,Tennessee,1
34,Maryland,1
35,Rhode Island,1
36,Alabama,1
