,Quarter,Revenue in million U.S. dollars
0,Q3 '20,4158.0
1,Q2 '20,3685.0
2,Q1 '20,3184.0
3,Q4 '19,4149.0
4,Q3 '19,3929.0
5,Q2 '19,3835.0
6,Q1 '19,3594.0
7,Q4 '18,3960.0
8,Q3 '18,4110.0
9,Q2 '18,3930.0
10,Q1 '18,3330.0
11,Q4 '17,3620.0
12,Q3 '17,3530.0
13,Q2 '17,3079.0
14,Q1 '17,2454.0
15,Q4 '16,2623.0
16,Q3 '16,2737.0
17,Q2 '16,2748.0
18,Q1 '16,2454.0
19,Q4 '15,2887.0
20,Q3 '15,2892.0
21,Q2 '15,2673.0
22,Q1 '15,2053.0
23,Q4 '14,2264.0
24,Q3 '14,2203.0
25,Q2 '14,1932.0
26,Q1 '14,1528.0
27,Q4 '13,1573.0
28,Q3 '13,1453.0
29,Q2 '13,1232.0
30,Q1 '13,961.0
31,Q4 '12,1017.0
32,Q3 '12,994.6
33,Q2 '12,858.8
34,Q1 '12,677.1
35,Q4 '11,710.9
36,Q3 '11,654.7
37,Q2 '11,528.4
38,Q1 '11,372.0
39,Q4 '10,371.3
40,Q3 '10,337.2
41,Q2 '10,282.3
42,Q1 '10,189.6
