,Month,Index number of sales per week
0,Jun 20,97.6
1,May 20,25.0
2,Apr 20,24.9
3,Mar 20,70.5
4,Feb 20,120.6
5,Jan 20,120.2
6,Dec 19,117.0
7,Nov 19,118.6
8,Oct 19,121.1
9,Sep 19,127.7
10,Aug 19,127.0
11,Jul 19,129.7
12,Jun 19,130.9
13,May 19,132.8
14,Apr 19,126.3
15,Mar 19,128.4
16,Feb 19,120.8
17,Jan 19,116.8
18,Dec 18,124.9
19,Nov 18,127.0
20,Oct 18,124.7
21,Sep 18,123.3
22,Aug 18,125.9
23,Jul 18,128.6
24,Jun 18,105.5
25,May 18,116.2
26,Apr 18,111.7
27,Mar 18,105.2
28,Feb 18,110.3
29,Jan 18,112.5
30,Dec 17,109.3
31,Nov 17,122.3
32,Oct 17,110.0
33,Sep 17,112.1
34,Aug 17,111.7
35,Jul 17,110.5
36,Jun 17,108.4
37,May 17,107.8
38,Apr 17,112.1
39,Mar 17,111.4
40,Feb 17,115.9
41,Jan 17,112.7
42,Dec 16,106.5
43,Nov 16,102.7
44,Oct 16,107.0
45,Sep 16,101.0
46,Aug 16,100.1
47,Jul 16,100.5
48,Jun 16,104.0
49,May 16,97.9
50,April 16,98.4
51,Mar 16,93.5
52,Feb 16,95.7
53,Jan 16,91.5
