,Year,GDP in billion international dollars
0,2021*,3155.97
1,2020*,2975.56
2,2019,3162.41
3,2018,3065.04
4,2017,2952.56
5,2016,2844.17
6,2015,2762.03
7,2014,2670.67
8,2013,2555.51
9,2012,2458.84
10,2011,2377.4
11,2010,2293.43
12,2009,2223.66
13,2008,2304.74
14,2007,2267.14
15,2006,2155.44
16,2005,2035.37
17,2004,1913.06
18,2003,1819.71
19,2002,1729.69
20,2001,1664.07
21,2000,1581.32
22,1999,1495.35
23,1998,1425.2
24,1997,1359.78
25,1996,1287.11
26,1995,1233.24
27,1994,1178.09
28,1993,1110.74
29,1992,1058.68
30,1991,1030.95
31,1990,1008.35
32,1989,964.89
33,1988,905.16
34,1987,826.92
35,1986,765.67
36,1985,727.64
37,1984,677.24
