,occupation,"Death rate per 100,000 population"
0,Elementary trades and related occupations,12.5
1,"Leisure, travel and related personal service occupations",9.1
2,Caring personal service occupations,7.2
3,"Textiles, printing and other skilled trades",7
4,Other managers and proprietors,5.9
5,Sales occupations,5.8
6,Elementary administration and service occupations,5.6
7,Health professionals,4.9
8,"Business, media and public service professionals",4.6
9,Customer service operations,4.4
10,Administrative occupations:,3.8
11,Secretarial and related occupations,3.7
12,Health and social care associate professionals,3.6
13,Teaching and educational professionals,3.3
14,Business and public service associate professionals,2.8
15,Corporate managers and directors,2.6
16,"Process, plant and machine operatives",-
17,"Culture, media and sports occupations",-
18,Transport and mobile machine drivers and operatives,-
19,Skilled agricultural and related trades,-
20,"Skilled metal, electrical and electronic trades",-
21,Protective service occupations,-
22,"Science, Engineering and technology associate professionals",-
23,"Science, research, engineering and technology professionals",-
24,Skilled construction and building trades,-
