,Country,Number of medals
0,Norway,368
1,United States,305
2,Germany,240
3,Austria,232
4,Canada,199
5,Soviet Union,194
6,Finland,167
7,Sweden,158
8,Switzerland,153
9,Netherlands,130
10,France,124
11,Italy,124
12,Russia (incl. USSR / CIS),120
13,East Germany,110
14,South Korea,70
15,China,62
16,Japan,58
17,West Germany,39
18,Great Britain,31
19,Czech Republic,31
20,Czechoslovakia,25
21,Unified Team,23
22,Poland,22
23,United Team of Germany,19
24,Belarus,18
25,Slovenia,17
26,Olympic Athletes from Russia,17
27,Australia,15
28,Croatia,11
29,Liechtenstein,10
30,Ukraine,8
31,Kazakhstan,8
32,Slovakia,8
33,Latvia,8
34,Hungary,7
35,Estonia,7
36,Bulgaria,6
37,Belgium,6
38,Spain,4
39,Yugoslavia,4
