,Month,Number of confirmed cases
0,Jan 1,450075
1,Dec 31,445715
2,Dec 30,440330
3,Dec 29,436192
4,Dec 28,433694
5,Dec 27,431196
6,Dec 26,428697
7,Dec 25,426199
8,Dec 24,421382
9,Dec 23,416394
10,Dec 22,412162
11,Dec 21,408862
12,Dec 20,405563
13,Dec 19,402264
14,Dec 18,397820
15,Dec 17,392798
16,Dec 16,387195
17,Dec 15,382953
18,Dec 14,379412
19,Dec 13,375870
20,Dec 12,372329
21,Dec 11,367218
22,Dec 10,362180
23,Dec 9,357121
24,Dec 8,352875
25,Dec 7,349617
26,Dec 6,346359
27,Dec 5,343101
28,Dec 4,338731
29,Dec 3,334310
30,Dec 2,329530
31,Dec 1,325770
32,Nov 30,322852
33,Nov 29,319934
34,Nov 28,317017
35,Nov 27,312722
36,Nov 26,308254
37,Nov 25,303392
38,Nov 24,299171
39,Nov 23,295942
40,Nov 22,292712
41,Nov 21,289483
42,Nov 20,284560
43,Nov 19,279572
44,Nov 18,273487
45,Nov 17,268965
46,Nov 16,264705
47,Nov 15,260445
48,Nov 14,256186
49,Nov 13,249471
50,Nov 12,242578
51,Nov 11,234340
52,Nov 10,228405
53,Nov 9,222657
54,Nov 8,216908
55,Nov 7,211160
56,Nov 6,201801
57,Nov 5,191703
58,Nov 4,181660
59,Nov 3,175570
60,Nov 2,153728
61,Nov 1,153728
62,Oct 31,153728
63,Oct 30,144558
64,Oct 29,135197
65,Oct 28,127042
66,Oct 27,120680
67,Oct 26,103323
68,Oct 25,103323
69,Oct 24,103323
70,Oct 23,96731
71,Oct 22,91763
72,Oct 21,86167
73,Oct 20,83159
74,Oct 19,74227
75,Oct 18,74227
76,Oct 17,74227
77,Oct 16,71140
78,Oct 15,68534
79,Oct 14,65726
80,Oct 13,64287
81,Oct 12,60230
82,Oct 11,60230
83,Oct 10,60230
84,Oct 9,58745
85,Oct 8,57576
86,Oct 7,56502
87,Oct 6,55803
88,Oct 5,54263
89,Oct 4,54263
90,Oct 3,54263
91,Oct 2,53712
92,Oct 1,53162
93,Sep 30,52751
94,Sep 29,52528
95,Sep 28,51747
96,Sep 27,51747
97,Sep 26,51747
98,Sep 25,51492
99,Sep 24,50984
100,Sep 23,50548
101,Sep 22,50264
102,Sep 21,49171
103,Sep 20,49171
104,Sep 19,49171
105,Sep 18,48684
106,Sep 17,48154
107,Sep 16,47640
108,Sep 15,47325
109,Sep 14,47068
110,Sep 13,46595
111,Sep 12,46130
112,Sep 11,45602
113,Sep 10,45197
114,Sep 9,44729
115,Sep 8,44484
116,Sep 7,44293
117,Sep 6,43849
118,Sep 5,43424
119,Sep 4,43127
120,Sep 3,42655
121,Sep 2,42285
122,Sep 1,42069
123,Aug 31,41906
124,Aug 30,41615
125,Aug 29,41240
126,Aug 28,40900
127,Aug 27,40540
128,Aug 26,40161
129,Aug 25,39959
130,Aug 24,39802
131,Aug 23,39526
132,Aug 22,39232
133,Aug 21,38926
134,Aug 20,38662
135,Aug 19,38352
136,Aug 18,38156
137,Aug 17,38031
138,Aug 16,37831
139,Aug 15,37580
140,Aug 14,37312
141,Aug 13,37079
142,Aug 12,36806
143,Aug 11,36619
144,Aug 10,36514
145,Aug 9,36362
146,Aug 8,36180
147,Aug 7,36019
148,Aug 6,35838
149,Aug 5,35657
150,Aug 4,35527
151,Aug 3,35461
152,Aug 2,35412
153,Aug 1,34933
154,July 31,34933
155,July 30,34714
156,July 29,34522
157,July 28,34390
158,July 27,34325
159,July 26,34215
160,July 25,34067
161,July 24,33913
162,July 23,33796
163,July 22,33655
164,July 21,33547
165,July 20,33504
166,July 19,33406
167,July 18,33296
168,July 17,33205
169,July 16,33063
170,July 15,32931
171,July 14,32861
172,July 13,32713
173,July 12,32713
174,July 11,32605
175,July 10,32501
176,July 9,32413
177,July 8,32284
178,July 7,32230
179,July 6,32184
180,July 5,32114
181,July 4,32017
182,July 3,31884
183,July 2,31851
184,July 1,31631
185,June 30,31569
186,June 29,31534
187,June 28,31472
188,June 27,31403
