,Country,Total value in million euros
0,Spain,622.0
1,Germany,562.0
2,Brazil,467.5
3,France,411.75
4,Argentina,391.5
5,Belgium,348.0
6,England,334.0
7,Italy,323.0
8,Portugal,297.25
9,Uruguay,217.63
10,The Netherlands,207.5
11,Croatia,193.25
12,Colombia,190.2
13,Russia,183.8
14,Switzerland,178.0
15,Chile,139.3
16,Ivory Coast,121.7
17,Cameroon,118.45
18,Bosnia and Herzegovina,114.95
19,Japan,98.0
20,Mexico,96.55
21,Ghana,96.35
22,Nigeria,86.85
23,Greece,79.9
24,Ecuador,62.85
25,United States,57.8
26,Algeria,57.2
27,South Korea,51.93
28,Costa Rica,29.63
29,Iran,24.1
30,Australia,21.35
31,Honduras,21.15
