,Month,Number of players in thousands
0,Nov '20,53.34
1,Oct '20,54.2
2,Sep '20,54.55
3,Aug '20,53.04
4,Jul '20,64.39
5,Jun '20,60.94
6,May '20,76.44
7,Apr '20,70.3
8,Mar '20,66.46
9,Feb '20,49.56
10,Jan '20,55.2
11,Dec '19,51.21
12,Nov '19,42.63
13,Oct '19,44.35
14,Sept '19,36.44
15,Aug '19,35.71
16,Jul '19,42.12
17,Jun '19,38.97
18,May '19,40.59
19,Apr '19,43.61
20,Mar '19,64.71
21,Feb '19,93.89
22,Jan '19,47.65
23,Dec '18,47.73
24,Nov '18,44.17
25,Oct '18,31.11
26,Sept '18,36.27
27,Aug '18,27.64
28,Jul '18,28.12
29,Jun '18,28.23
30,May '18,30.01
31,Aprl '18,31.93
32,Mar '18,42.67
33,Feb '18,79.74
34,Jan '18,42.77
35,Dec '17,35.06
36,Nov '17,28.88
37,Oct '17,30.23
38,Sept '17,25.12
39,Aug '17,27.11
40,Jul '17,29.99
41,Jun '17,26.12
42,May '17,27.89
43,Apr '17,29.57
44,Mar '17,31.83
45,Feb '17,34.86
46,Jan '17,44.42
47,Dec '16,41.96
48,Nov '16,84.77
49,Oct '16,162.31
