,Date of forecast,Forecast GDP growth
0,"Nov 27, 2020",-4.5%
1,"Nov 20, 2020",-4.55%
2,"Nov 13, 2020",-4.66%
3,"Nov 6, 2020",-4.8%
4,"Oct 30, 2020",-4.81%
5,"Oct 23, 2020",-4.81%
6,"Oct 16, 2020",-5%
7,"Oct 9, 2020",-5.03%
8,"Oct 2, 2020",-5.02%
9,"Sep 25, 2020",-5.04%
10,"Sep 18, 2020",-5.05%
11,"Sep 11, 2020",-5.11%
12,"Sep 4, 2020",-5.31%
13,"Aug 28, 2020",-5.28%
14,"Aug 21, 2020",-5.46%
15,"Aug 14, 2020",-5.52%
16,"Aug 7, 2020",-5.62%
17,"Jul 31, 2020",-5.66%
18,"Jul 24, 2020",-5.77%
19,"Jul 17, 2020",-5.95%
20,"Jul 10, 2020",-6.1%
21,"Jul 3, 2020",-6.5%
22,"Jun 26, 2020",-6.54%
23,"Jun 19, 2020",-6.5%
24,"Jun 12, 2020",-6.51%
25,"Jun 05, 2020",-6.48%
26,"May 29, 2020",-6.25%
27,"May 22, 2020",-5.89%
28,"May 15, 2020",-5.12%
29,"May 8, 2020",-4.11%
30,"Apr 30, 2020",-3.76%
31,"Apr 24, 2020",-3.34%
32,"Apr 17, 2020",-2.96%
33,"Apr 9, 2020",-1.96%
34,"Apr 3, 2020",-1.18%
35,"Mar 27, 2020",-0.48%
36,"Mar 20, 2020",1.48%
37,"Mar 13, 2020",1.68%
38,"Mar 6, 2020",1.99%
39,"Feb 28, 2020",2.17%
40,"Feb 21, 2020",2.2%
41,"Feb 14, 2020",2.23%
42,"Feb 7, 2020",2.3%
43,"Jan 31, 2020",2.3%
44,"Jan 24, 2020",2.31%
45,"Jan 17, 2020",2.31%
46,"Jan 10, 2020",2.3%
47,"Jan 3, 2020",2.3%
