,wealthiest individuals and families in Canada,Net worth in billion Canadian dollars
0,Thomson family (Thomson Reuters),41.14$
1,Joseph Tsai (Alibaba Group),14.36$
2,Galen Weston (George Weston Ltd.),13.55$
3,Rogers family (Rogers Communications),11.57$
4,Saputo family (Saputo Inc.),10.41$
5,Garrett Camp (Uber),8.58$
6,Demarais family (Power Corp.),8.38$
7,Irving family (Irving Oil),7.38$
8,Richardson family (James Richardson & Sons Ltd.),6.55$
9,James Pattison (Jim Pattison Group),6.41$
10,Jeff Skoll (Participant Media),6.13$
11,Richard Li (PCCW),5.99$
12,Azrieli family (real estate),5.83$
13,Carlo Fidani (Orlando Corp.),4.89$
14,Bernard (Barry) Sherman (Apotex),4.77$
