,basketball team,Average ticket price in U.S. dollars
0,New York Knicks,129.38
1,Los Angeles Lakers,103.27
2,Chicago Bulls,82.33
3,Golden State Warriors,79.84
4,Los Angeles Clippers,79.83
5,Miami Heat,76.73
6,Houston Rockets,67.24
7,Boston Celtics,66.49
8,Brooklyn Nets,66.15
9,Phoenix Suns,56.1
10,Oklahoma City Thunder,55.1
11,San Antonio Spurs,54.88
12,Portland Trail Blazers,53.43
13,Denver Nuggets,52.38
14,Washington Wizards,51.21
15,Milwaukee Bucks,50.3
16,Dallas Mavericks,49.76
17,Cleveland Cavaliers,48.12
18,Toronto Raptors,48.11
19,Sacramento Kings,47.89
20,Utah Jazz,43.19
21,Orlando Magic,39.4
22,Indiana Pacers,38.97
23,Philadelphia 76ers,38.46
24,Minnesota Timberwolves,37.27
25,Atlanta Hawks,36.82
26,Memphis Grizzlies,31.48
27,Detroit Pistons,31.42
28,Charlotte Hornets,30.6
29,New Orleans Pelicans,30.2
