,industry,Average expenditure in Canadian dollars
0,Shelter,15744
1,Income taxes,14878
2,Transportation,13232
3,Food expenditures,8379
4,Personal insurance payments and pension contributions,5707
5,Household operations,4548
6,Recreation,4009
7,Clothing and accessories,3292
8,Health care,2497
9,"Gifts of money, support payments and charitable contributions",2464
10,Household furnishings and equipment,2381
11,Miscellaneous expenditures,2062
12,Education,1635
13,Tobacco products and alcoholic beverages,1230
14,Personal care,1156
15,Games of chance,288
16,Reading materials and other printed matter,170
