,Month,Number of COVID-19 patients hospitalized
0,"Jan 6, 2021",23174
1,"Jan 5, 2021",23395
2,"Jan 4, 2021",23317
3,"Jan 3, 2021",23075
4,"Jan 2, 2021",22948
5,"Jan 1, 2021",22822
6,"Dec 31, 2020",23151
7,"Dec 30, 2020",23566
8,"Dec 29, 2020",23662
9,"Dec 28, 2020",23932
10,"Dec 27, 2020",23571
11,"Dec 26, 2020",23312
12,"Dec 25, 2020",23402
13,"Dec 24, 2020",24070
14,"Dec 23, 2020",24546
15,"Dec 22, 2020",24948
16,"Dec 21, 2020",25145
17,"Dec 20, 2020",25158
18,"Dec 19, 2020",25364
19,"Dec 18, 2020",25769
20,"Dec 17, 2020",26427
21,"Dec 16, 2020",26897
22,"Dec 15, 2020",27342
23,"Dec 14, 2020",27765
24,"Dec 13, 2020",27735
25,"Dec 12, 2020",28066
26,"Dec 11, 2020",28562
27,"Dec 10, 2020",29088
28,"Dec 9, 2020",29653
29,"Dec 8, 2020",30081
30,"Dec 7, 2020",30524
31,"Dec 6, 2020",30391
32,"Dec 5, 2020",30158
33,"Dec 4, 2020",31200
34,"Dec 3, 2020",31772
35,"Dec 2, 2020",32454
36,"Dec 1, 2020",32811
37,"Nov 30, 2020",33187
38,"Nov 29, 2020",32879
39,"Nov 28, 2020",33299
40,"Nov 27, 2020",33684
41,"Nov 26, 2020",34038
42,"Nov 25, 2020",34313
43,"Nov 24, 2020",34577
44,"Nov 23, 2020",34697
45,"Nov 22, 2020",34279
46,"Nov 21, 2020",34063
47,"Nov 20, 2020",33957
48,"Nov 19, 2020",33610
49,"Nov 18, 2020",33504
50,"Nov 17, 2020",33074
51,"Nov 16, 2020",32536
52,"Nov 15, 2020",32047
53,"Nov 14, 2020",31398
54,"Nov 13, 2020",30914
55,"Nov 12, 2020",29873
56,"Nov 11, 2020",29444
57,"Nov 10, 2020",28633
58,"Nov 9, 2020",27636
59,"Nov 8, 2020",26440
60,"Nov 7, 2020",25109
61,"Nov 6, 2020",24005
62,"Nov 5, 2020",23256
63,"Nov 4, 2020",22116
64,"Nov 3, 2020",21114
65,"Nov 2, 2020",19840
66,"Nov 1, 2020",18902
67,"Oct 31, 2020",17966
68,"Oct 30, 2020",16994
69,"Oct 29, 2020",15964
70,"Oct 28, 2020",14981
71,"Oct 27, 2020",13955
72,"Oct 26, 2020",12997
73,"Oct 25, 2020",12006
74,"Oct 24, 2020",11287
75,"Oct 23, 2020",10549
76,"Oct 22, 2020",9694
77,"Oct 21, 2020",9057
78,"Oct 20, 2020",8454
79,"Oct 19, 2020",7676
80,"Oct 18, 2020",7131
81,"Oct 17, 2020",6617
82,"Oct 16, 2020",6178
83,"Oct 15, 2020",5796
84,"Oct 14, 2020",5470
85,"Oct 13, 2020",5076
86,"Oct 12, 2020",4821
87,"Oct 11, 2020",4519
88,"Oct 10, 2020",4336
89,"Oct 9, 2020",4086
90,"Oct 8, 2020",3925
91,"Oct 7, 2020",3782
92,"Oct 6, 2020",3625
93,"Oct 5, 2020",3487
