,Response,"Share of respondents stating ""Yes"""
0,District of Columbia,8.6%
1,Vermont,5.3%
2,Massachusetts,4.9%
3,Oregon,4.9%
4,California,4.9%
5,Nevada,4.8%
6,Delaware,4.7%
7,New Hampshire,4.6%
8,Washington,4.6%
9,New York,4.5%
10,Maine,4.5%
11,Colorado,4.3%
12,New Mexico,4.2%
13,Florida,4.2%
14,Indiana,4.1%
15,Minnesota,4%
16,Rhode Island,4%
17,Georgia,4%
18,Arizona,4%
19,Maryland,3.9%
20,Illinois,3.9%
21,Hawaii,3.8%
22,Michigan,3.8%
23,Ohio,3.8%
24,Louisiana,3.7%
25,New Jersey,3.6%
26,Nebraska,3.6%
27,Pennsylvania,3.6%
28,Texas,3.6%
29,Wyoming,3.5%
30,North Carolina,3.5%
31,Connecticut,3.5%
32,Oklahoma,3.5%
33,Virginia,3.4%
34,West Virginia,3.4%
35,Missouri,3.4%
36,Wisconsin,3.4%
37,Kentucky,3.3%
38,Utah,3.3%
39,Mississippi,3.2%
40,Iowa,3.2%
41,Tennessee,3.1%
42,Kansas,3.1%
43,South Carolina,3%
44,Alabama,3%
45,Alaska,3%
46,Montana,3%
47,Arkansas,3%
48,Idaho,2.8%
49,North Dakota,2.7%
50,South Dakota,2%
