,Response,Percentage of families below the poverty line
0,"Detroit city, Michigan",26.5
1,"Philadelphia city, Pennsylvania",18.5
2,"Houston city, Texas",16.0
3,"El Paso city, Texas",15.2
4,"Dallas city, Texas",14.2
5,"San Antonio city, Texas",13.3
6,"Columbus city, Ohio",12.7
7,"New York city, New York",12.4
8,"Chicago city, Illinois",12.2
9,"Los Angeles city, California",12.1
10,"Phoenix city, Arizona",12.0
11,"Oklahoma City city, Oklahoma",11.7
12,"Boston city, Massachusetts",11.7
13,"Jacksonville city, Florida",10.5
14,"Indianapolis city (balance), Indiana",10.3
15,"Washington city, District of Columbia",8.8
16,"Fort Worth city, Texas",8.5
17,"Austin city, Texas",8.5
18,"Nashville-Davidson metropolitan government (balance), Tennessee",8.3
19,"Charlotte city, North Carolina",7.7
20,"Denver city, Colorado",7.7
21,"San Diego city, California",6.9
22,"San Francisco city, California",4.9
23,"Seattle city, Washington",4.5
24,"San Jose city, California",3.9
