,Response,Share of population
0,Denmark,58%
1,Iceland,53%
2,Netherlands,51%
3,Norway,51%
4,Sweden,48%
5,United Kingdom,43%
6,Finland,42%
7,Switzerland *,42%
8,Estonia,36%
9,Germany,32%
10,Ireland,32%
11,Luxembourg,31%
12,Spain,26%
13,Malta,24%
14,Austria,23%
15,Belgium,21%
16,Lithuania,19%
17,Czechia,19%
18,Slovakia,17%
19,France,17%
20,Latvia,15%
21,Hungary,13%
22,Slovenia,12%
23,Portugal,11%
24,Poland,8%
25,Italy,7%
26,Greece,7%
27,Cyprus,5%
28,Turkey,4%
29,Croatia,4%
30,Bulgaria,3%
31,Serbia,2%
32,Romania,2%
33,North Macedonia,1%
34,Montenegro,1%
