,province of China,Number of people per household
0,Tibet,4.13
1,Hainan,3.62
2,Gansu,3.35
3,Jiangxi,3.32
4,Xinjiang,3.31
5,Henan,3.31
6,Yunnan,3.28
7,Guangxi,3.28
8,Guizhou,3.17
9,Hunan,3.15
10,Qinghai,3.1
11,Hebei,3.1
12,Ningxia,3.07
13,Shaanxi,2.98
14,Jiangsu,2.97
15,Shanxi,2.95
16,Hubei,2.94
17,National average,2.92
18,Anhui,2.92
19,Guangdong,2.89
20,Fujian,2.84
21,Chongqing,2.82
22,Sichuan,2.75
23,Shandong,2.74
24,Tianjin,2.65
25,Jilin,2.6
26,Inner Mongolia,2.58
27,Beijing,2.56
28,Zhejiang,2.55
29,Liaoning,2.54
30,Heilongjiang,2.47
31,Shanghai,2.38
