,Quarter,Index (Dec. 2005=100)
0,Q3 '20,141.4
1,Q2 '20,140.7
2,Q1 '20,140.0
3,Q4 '19,138.9
4,Q3 '19,138.0
5,Q2 '19,137.0
6,Q1 '19,136.2
7,Q4 '18,135.2
8,Q3 '18,134.3
9,Q2 '18,133.3
10,Q1 '18,132.5
11,Q4 '17,131.4
12,Q3 '17,130.6
13,Q2 '17,129.7
14,Q1 '17,129.0
15,Q4 '16,128.0
16,Q3 '16,127.4
17,Q2 '16,126.7
18,Q1 '16,126.0
19,Q4 '15,125.2
20,Q3 '15,124.5
21,Q2 '15,123.8
22,Q1 '15,123.6
23,Q4 '14,122.8
24,Q3 '14,122.2
25,Q2 '14,121.4
26,Q1 '14,120.5
27,Q4 '13,120.1
28,Q3 '13,119.5
29,Q2 '13,119.0
30,Q1 '13,118.4
31,Q4 '12,117.8
32,Q3 '12,117.3
33,Q2 '12,116.8
34,Q1 '12,116.2
35,Q4 '11,115.7
36,Q3 '11,115.1
37,Q2 '11,114.8
38,Q1 '11,114.0
39,Q4 '10,113.3
40,Q3 '10,112.8
41,Q2 '10,112.3
42,Q1 '10,111.8
