,Year,S&P/BVL Peru General Index in Peruvian soles
0,10/15/2020,17691.12
1,10/14/2020,17835.07
2,10/13/2020,17821.34
3,10/12/2020,18013.55
4,10/9/2020,18112.09
5,10/8/2020,18032.17
6,10/7/2020,17958.97
7,10/6/2020,18129.09
8,10/5/2020,17953.38
9,10/2/2020,17911.89
10,10/1/2020,17842.81
11,9/30/2020,17948.78
12,9/29/2020,17881.34
13,9/28/2020,17875.08
14,9/25/2020,17743.88
15,9/24/2020,17777.88
16,9/23/2020,17497.24
17,9/22/2020,17777.89
18,9/21/2020,17692.68
19,9/18/2020,17907.31
20,9/17/2020,18021.2
21,9/16/2020,18093.99
22,9/15/2020,17966.72
23,9/14/2020,18163.12
24,9/11/2020,18026.12
25,9/10/2020,18102.49
26,9/9/2020,18267.71
27,9/8/2020,18103.14
28,9/4/2020,18138.12
29,9/3/2020,18485.97
30,9/2/2020,18487.05
31,9/1/2020,18675.74
32,8/31/2020,18577.08
33,8/28/2020,18420.62
34,8/27/2020,18338.83
35,8/26/2020,18330.81
36,8/25/2020,18252.13
37,8/24/2020,18295.22
38,8/21/2020,18276.22
39,8/20/2020,18349.71
40,8/19/2020,18351.77
41,8/18/2020,18522.05
42,8/17/2020,18467.1
43,8/14/2020,18307.13
44,8/13/2020,18192.34
45,8/12/2020,17983.07
46,8/11/2020,17910.34
47,8/10/2020,17981.82
48,8/7/2020,17972.36
49,8/6/2020,18017.36
50,8/5/2020,17935.06
51,8/4/2020,17571.8
52,8/3/2020,17559.53
53,7/31/2020,17512.53
54,7/30/2020,17614.34
55,7/29/2020,17737.74
56,7/27/2020,17700.78
57,7/24/2020,17288.66
58,7/23/2020,17268.44
59,7/22/2020,17243.38
60,7/21/2020,17134.52
61,7/20/2020,16817.61
62,7/17/2020,16752.86
63,7/16/2020,16649.49
64,7/15/2020,16741.43
65,7/14/2020,16574.72
66,7/13/2020,16646.36
67,7/10/2020,16671.15
68,7/9/2020,16599.65
69,7/8/2020,16835.88
70,7/7/2020,16913.77
71,7/6/2020,16976.05
72,7/2/2020,16737.05
73,7/1/2020,16724.02
74,6/30/2020,16878.0
75,6/26/2020,16634.47
76,6/25/2020,16632.44
77,6/24/2020,16753.23
78,6/23/2020,16951.07
79,6/22/2020,16913.69
80,6/19/2020,16972.14
81,6/18/2020,16948.36
82,6/17/2020,17008.54
83,6/16/2020,17019.72
84,6/15/2020,16983.24
85,6/12/2020,16824.21
86,6/11/2020,16603.5
87,6/10/2020,17324.63
88,6/9/2020,17323.39
89,6/8/2020,17488.35
90,6/5/2020,17236.69
91,6/4/2020,16618.33
92,6/3/2020,16342.08
93,6/2/2020,15780.96
94,6/1/2020,15743.47
95,5/29/2020,15580.85
96,5/28/2020,15777.54
97,5/27/2020,15725.53
98,5/26/2020,15485.68
99,5/22/2020,15349.3
100,5/21/2020,15423.58
101,5/20/2020,15427.15
102,5/19/2020,15461.57
103,5/18/2020,15679.31
104,5/15/2020,15189.15
105,5/14/2020,15126.21
106,5/13/2020,15143.33
107,5/12/2020,15485.86
108,5/11/2020,15265.59
109,5/8/2020,15409.18
110,5/7/2020,15095.05
111,5/6/2020,14953.76
112,5/5/2020,14900.48
113,5/4/2020,14722.3
114,4/30/2020,14779.28
115,4/29/2020,14933.61
116,4/28/2020,14453.53
117,4/27/2020,14345.05
118,4/24/2020,14229.95
119,4/23/2020,14384.07
120,4/22/2020,14403.89
121,4/21/2020,14306.62
122,4/20/2020,14625.61
123,4/17/2020,14493.95
124,4/16/2020,14446.73
125,4/15/2020,14456.95
126,4/14/2020,14464.82
127,4/13/2020,14379.82
128,4/8/2020,13912.39
129,4/7/2020,13774.5
130,4/6/2020,13565.64
131,4/3/2020,13538.79
132,4/2/2020,13785.72
133,4/1/2020,13900.05
134,3/31/2020,14463.96
135,3/30/2020,13911.73
136,3/27/2020,13892.62
137,3/26/2020,14483.46
138,3/25/2020,14539.6
139,3/24/2020,14243.5
140,3/23/2020,14050.97
141,3/20/2020,14389.9
142,3/19/2020,14650.97
143,3/18/2020,14523.92
144,3/17/2020,15403.07
145,3/16/2020,15215.21
146,3/13/2020,15947.4
147,3/12/2020,15312.23
148,3/11/2020,17094.31
149,3/10/2020,17750.63
150,3/9/2020,17323.13
151,3/6/2020,18285.94
152,3/5/2020,18718.23
153,3/4/2020,18837.4
154,3/3/2020,18494.81
155,3/2/2020,18555.85
156,2/28/2020,18264.3
157,2/27/2020,18608.19
158,2/26/2020,18945.68
159,2/25/2020,18852.95
160,2/24/2020,19196.6
161,2/21/2020,19600.88
162,2/20/2020,19715.96
163,2/19/2020,19728.32
164,2/18/2020,19600.06
165,2/14/2020,19854.48
166,2/13/2020,20008.03
167,2/12/2020,20059.31
168,2/11/2020,19958.87
169,2/10/2020,19941.39
170,2/7/2020,19883.88
171,2/6/2020,20101.01
172,2/5/2020,20393.94
173,2/4/2020,20251.61
174,2/3/2020,19835.79
175,1/31/2020,19834.9
176,1/30/2020,19914.98
177,1/29/2020,19979.74
178,1/28/2020,19924.76
179,1/27/2020,19964.42
180,1/24/2020,20319.2
181,1/23/2020,20545.19
182,1/22/2020,20679.59
183,1/21/2020,20612.18
184,1/17/2020,20727.28
185,1/16/2020,20610.52
186,1/15/2020,20557.02
187,1/14/2020,20489.66
188,1/13/2020,20475.92
189,1/10/2020,20447.35
190,1/9/2020,20420.17
191,1/8/2020,20381.92
192,1/7/2020,20475.28
193,1/6/2020,20568.39
194,1/3/2020,20545.51
195,1/2/2020,20634.14
