,Response,Share of unemployed people
0,"Travel agencies, cleaning and related services",10.3%
1,Trade,9.1%
2,Health care and social authorities,8.2%
3,Industry,8.1%
4,Hotels and restaurants,7.2%
5,Building and construction,5.9%
6,Transport,5.2%
7,Education,4.5%
8,Knowledge services,2.9%
9,"Public administration, military and police",2.4%
10,Information and communication,2.4%
11,Culture and leisure,1.9%
12,Other services,1.5%
13,Other,1.4%
14,Real estate and rental,0.7%
15,Finance and insurance,0.7%
16,Unknown sector,0.1%
